"","INSECT","STAGE_START","STAGE_END","NOTES","paint","days.after.paint","quad","exposure","treatment","exp.time","date","status","alive","knockdown","dead","unviable","living","julian","day","treat.group"
"71","01H-CO-3-03","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"72","01H-CO-3-04","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"73","01H-CO-3-05","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"74","01H-CO-3-06","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"75","01H-CO-3-07","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"76","01H-CO-3-08","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"77","01H-CO-3-09","AF","AF","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"78","01H-CO-3-10","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"79","01H-CO-3-11","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"80","01H-CO-3-12","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"81","01H-CO-4-01","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"82","01H-CO-4-02","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"83","01H-CO-4-03","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"84","01H-CO-4-04","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"85","01H-CO-4-05","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"86","01H-CO-4-06","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"87","01H-CO-4-07","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"88","01H-CO-4-08","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"89","01H-CO-4-09","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"90","01H-CO-4-10","AM","AM","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"91","01H-CO-4-11","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"92","01H-CO-4-12","5","5","","CO",1,"4","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0,"01H-CO-1-1"
"93","03H-5A-1-01","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"94","03H-5A-1-02","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"95","03H-5A-1-03","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"96","03H-5A-1-04","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"97","03H-5A-1-05","AF","AF","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"98","03H-5A-1-06","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"99","03H-5A-1-07","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"100","03H-5A-1-08","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"101","03H-5A-1-09","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"102","03H-5A-1-10","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"103","03H-5A-1-11","5","5","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"104","03H-5A-1-12","AM","AM","","5A",1,"1","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"105","03H-5A-2-01","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"106","03H-5A-2-02","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"107","03H-5A-2-03","AF","AF","4 eggs on 9/18, 4 1st instar hatched 9/25","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"108","03H-5A-2-04","AF","AF","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"109","03H-5A-2-05","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"110","03H-5A-2-06","4","4","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"111","03H-5A-2-07","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"112","03H-5A-2-08","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"113","03H-5A-2-09","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"114","03H-5A-2-10","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"115","03H-5A-2-11","5","5","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"116","03H-5A-2-12","4","4","","5A",1,"2","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"117","03H-5A-3-01","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"118","03H-5A-3-02","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"119","03H-5A-3-03","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"120","03H-5A-3-04","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"121","03H-5A-3-05","AF","AF","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"122","03H-5A-3-06","5","AM","Molting on 9/18","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"123","03H-5A-3-07","AF","AF","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"124","03H-5A-3-08","AM","AM","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"125","03H-5A-3-09","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"126","03H-5A-3-10","AM","AM","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"127","03H-5A-3-11","4","4","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"128","03H-5A-3-12","5","5","","5A",1,"3","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"129","03H-5A-4-01","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"130","03H-5A-4-02","AM","AM","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"131","03H-5A-4-03","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"132","03H-5A-4-04","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"133","03H-5A-4-05","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"134","03H-5A-4-06","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"135","03H-5A-4-07","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"136","03H-5A-4-08","5","5","9/13 looks squished","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"137","03H-5A-4-09","4","4","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"138","03H-5A-4-10","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"139","03H-5A-4-11","5","5","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"140","03H-5A-4-12","4","4","","5A",1,"4","03H-5A","03H-5A-1","03H",2015-09-11,"K",0,1,0,1,1,16689,0,"03H-5A-1-1"
"141","03H-CO-1-01","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"142","03H-CO-1-02","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"143","03H-CO-1-03","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"144","03H-CO-1-04","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"145","03H-CO-1-05","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"146","03H-CO-1-06","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"147","03H-CO-1-07","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"148","03H-CO-1-08","AM","AM","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"149","03H-CO-1-09","AF","AF","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"150","03H-CO-1-10","AF","AF","9/25 alive 1, 1st instar","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"151","03H-CO-1-11","5","5","","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"152","03H-CO-1-12","AF","AF","2 eggs and instar on 9/18","CO",1,"1","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"153","03H-CO-2-01","4","4","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"154","03H-CO-2-02","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"155","03H-CO-2-03","AF","AF","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"156","03H-CO-2-04","5","AM","Melting on 9/12","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"157","03H-CO-2-05","AM","AM","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"158","03H-CO-2-06","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"159","03H-CO-2-07","5","5","died In molt on 9/12","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"160","03H-CO-2-08","4","4","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"161","03H-CO-2-09","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"162","03H-CO-2-10","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"163","03H-CO-2-11","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"164","03H-CO-2-12","5","5","","CO",1,"2","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"165","03H-CO-3-01","5","5","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"166","03H-CO-3-02","AF","AF","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"167","03H-CO-3-03","AF","AF","","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
"168","03H-CO-3-04","AF","AF","1 egg 9/25 and 1st instar","CO",1,"3","03H-CO","03H-CO-1","03H",2015-09-11,"A",1,0,0,0,1,16689,0,"03H-CO-1-1"
